,Model,Domain,Result Set,Task,Score
0,bloom3b,learned,3,pawsx,48.47
1,bloom3b,learned,3,xcopa,56.65
2,bloom3b,learned,3,xnli,40.47
3,bloom3b,learned,3,xstorycloze,59.67
4,bloom3b,learned,3,xwinograd,71.16
5,bloom3b,learned,3,SET AVG,55.28399999999999
6,bloom3b,learned,3,VI AVG,57.769999999999996
7,bloom3b,learned,1,pawsx,48.51
8,bloom3b,learned,1,xcopa,57.13
9,bloom3b,learned,1,xnli,40.42
10,bloom3b,learned,1,xstorycloze,59.63
11,bloom3b,learned,1,xwinograd,71.34
12,bloom3b,learned,1,SET AVG,55.40599999999999
13,bloom3b,learned,1,VI AVG,57.485
14,bloom3b,learned,2,pawsx,47.980000000000004
15,bloom3b,learned,2,xcopa,57.07
16,bloom3b,learned,2,xnli,40.489999999999995
17,bloom3b,learned,2,xstorycloze,59.81999999999999
18,bloom3b,learned,2,xwinograd,70.47
19,bloom3b,learned,2,SET AVG,55.16600000000001
20,bloom3b,learned,2,VI AVG,57.305
21,bloom3b,random,3,pawsx,48.51
22,bloom3b,random,3,xcopa,56.65
23,bloom3b,random,3,xnli,40.65
24,bloom3b,random,3,xstorycloze,59.650000000000006
25,bloom3b,random,3,xwinograd,70.96000000000001
26,bloom3b,random,3,SET AVG,55.284000000000006
27,bloom3b,random,3,VI AVG,57.809999999999995
28,bloom3b,random,2,pawsx,48.339999999999996
29,bloom3b,random,2,xcopa,56.910000000000004
30,bloom3b,random,2,xnli,40.62
31,bloom3b,random,2,xstorycloze,59.67
32,bloom3b,random,2,xwinograd,70.65
33,bloom3b,random,2,SET AVG,55.238000000000014
34,bloom3b,random,2,VI AVG,58.45
35,bloom3b,random,1,pawsx,48.089999999999996
36,bloom3b,random,1,xcopa,56.53
37,bloom3b,random,1,xnli,40.8
38,bloom3b,random,1,xstorycloze,59.62
39,bloom3b,random,1,xwinograd,70.53
40,bloom3b,random,1,SET AVG,55.11400000000001
41,bloom3b,random,1,VI AVG,58.05
42,bloom3b,vi,1,pawsx,48.64
