Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom7b,family,SET AVG,56.6546666666667,0.0840079361330398,3,0.0485020045404754,0.208687282242246,56.4459793844244,56.8633539489089
bloom7b,family,pawsx,48.81,0.238956062906971,3,0.137961347243833,0.593599767340915,48.2164002326591,49.4035997673409
bloom7b,family,xcopa,58.2266666666667,0.10016652800878,3,0.0578311719096595,0.248827449691065,57.9778392169756,58.4754941163577
bloom7b,family,xnli,41.1666666666667,0.0929157324317786,3,0.0536449231314386,0.230815474957365,40.9358511917093,41.397482141624
bloom7b,family,xstorycloze,60.9933333333333,0.0642910050732916,3,0.0371184290855365,0.159707710234902,60.8336256230984,61.1530410435682
bloom7b,family,xwinograd,74.0766666666667,0.172143351115678,3,0.0993870101058408,0.427627790349615,73.6490388763171,74.5042944570163
bloom7b,geo,SET AVG,56.8206666666667,0.0923976911688441,3,0.053345831868832,0.229528589119818,56.5911380775468,57.0501952557865
bloom7b,geo,pawsx,48.1966666666667,0.318799832705931,3,0.184059169230377,0.791942686954283,47.4047239797124,48.988609353621
bloom7b,geo,xcopa,57.97,0.0754983443527085,3,0.0435889894354073,0.187548284388329,57.7824517156117,58.1575482843883
bloom7b,geo,xnli,41.6366666666667,0.190087699058448,3,0.109747184221032,0.472204021788697,41.164462644878,42.1088706884554
bloom7b,geo,xstorycloze,62.3133333333333,0.0577350269189608,3,0.0333333333333323,0.143421757663705,62.1699115756696,62.456755090997
bloom7b,geo,xwinograd,73.9866666666667,0.282193786843959,3,0.162924658798,0.701008227947077,73.2856584387196,74.6876748946137
bloom7b,learned,SET AVG,56.384,0.0935521245082135,3,0.0540123442680785,0.232396360513955,56.151603639486,56.616396360514
bloom7b,learned,pawsx,46.97,0.0608276253029812,3,0.0351188458428419,0.151104197937037,46.818895802063,47.121104197937
bloom7b,learned,xcopa,57.9366666666667,0.077674534651536,3,0.0448454134902432,0.192954240777795,57.7437124258889,58.1296209074445
bloom7b,learned,xnli,41.35,0.124899959967967,3,0.0721110255092791,0.310268700764201,41.0397312992358,41.6602687007642
bloom7b,learned,xstorycloze,61.7966666666667,0.0378593889719984,3,0.021858128414338,0.0940479358927026,61.702618730774,61.8907146025594
bloom7b,learned,xwinograd,73.8666666666667,0.231588715902426,3,0.133707807467545,0.575298262810684,73.291368403856,74.4419649294774
bloom7b,random,SET AVG,56.28,0.102137162678433,3,0.0589689183666577,0.253722777590215,56.0262772224098,56.5337227775902
bloom7b,random,pawsx,45.89,0.186815416922696,3,0.107857931249091,0.464075222331484,45.4259247776685,46.3540752223315
bloom7b,random,xcopa,57.7666666666667,0.168621864932558,3,0.0973538791100691,0.418879933720391,57.3477867329463,58.1855466003871
bloom7b,random,xnli,41.8533333333333,0.202072594216368,3,0.116666666666666,0.501976151822978,41.3513571815104,42.3553094851563
bloom7b,random,xstorycloze,61.8233333333333,0.143643076176098,3,0.0829323686974961,0.35682918257429,61.466504150759,62.1801625159076
bloom7b,random,xwinograd,74.0666666666667,0.260832002126534,3,0.150591426641023,0.647942612938232,73.4187240537284,74.7146092796049
bloom7b,resource,SET AVG,56.475,0.0729291894008584,4,0.0364645947004292,0.116046614678069,56.3589533853219,56.5910466146781
bloom7b,resource,pawsx,47.275,0.26639569566092,4,0.13319784783046,0.423894998699863,46.8511050013001,47.6988949986999
bloom7b,resource,xcopa,57.9,0.0820568908339388,4,0.0410284454169694,0.130570824528791,57.7694291754712,58.0305708245288
bloom7b,resource,xnli,41.395,0.0331662479035494,4,0.0165831239517747,0.0527749015503963,41.3422250984496,41.4477749015504
bloom7b,resource,xstorycloze,61.5825,0.0704154339142547,4,0.0352077169571273,0.112046668747704,61.4704533312523,61.6945466687477
bloom7b,resource,xwinograd,74.2225,0.155000000000003,4,0.0775000000000013,0.246639588659534,73.9758604113405,74.4691395886595
bloom7b,semantic,SET AVG,56.4006666666667,0.0231804515342814,3,0.0133832399332545,0.0575834338338749,56.3430832328328,56.4582501005005
bloom7b,semantic,pawsx,47.3166666666667,0.295691280448596,3,0.170717440364022,0.734537860825724,46.5821288058409,48.0512045274924
bloom7b,semantic,xcopa,57.63,0.026457513110647,3,0.0152752523165201,0.0657241060797588,57.5642758939202,57.6957241060798
bloom7b,semantic,xnli,41.5,0.0871779788708149,3,0.0503322295684725,0.216562104955309,41.2834378950447,41.7165621049553
bloom7b,semantic,xstorycloze,61.9,0.0556776436282958,3,0.0321455025366407,0.138310934243647,61.7616890657564,62.0383109342437
bloom7b,semantic,xwinograd,73.6566666666667,0.126622799421485,3,0.0731057073315383,0.314548471222138,73.3421181954445,73.9712151378888
bloom7b,typology,SET AVG,56.6926666666667,0.0328836332137019,3,0.0189853744878637,0.0816874733685948,56.6109791932981,56.7743541400353
bloom7b,typology,pawsx,47.48,0.105830052442581,3,0.0611010092660766,0.262896424319018,47.217103575681,47.742896424319
bloom7b,typology,xcopa,58.19,0.208806130178211,3,0.120554275466834,0.518703182439849,57.6712968175602,58.7087031824399
bloom7b,typology,xnli,41.7333333333333,0.0737111479583207,3,0.0425571511160128,0.183108642426559,41.5502246909068,41.9164419757599
bloom7b,typology,xstorycloze,62.03,0.0346410161513778,3,0.0200000000000002,0.0860530545982262,61.9439469454018,62.1160530545982
bloom7b,typology,xwinograd,74.03,0.35679125549822,3,0.205993527406402,0.886318613039209,73.1436813869608,74.9163186130392
bloom7b,vi,SET AVG,56.44,0.0922605007573648,3,0.0532666249478343,0.229187789244959,56.2108122107551,56.669187789245
bloom7b,vi,pawsx,47.2033333333333,0.198578280114752,3,0.114649223479465,0.493295794386127,46.7100375389472,47.6966291277195
bloom7b,vi,xcopa,57.63,0.087177978870812,3,0.0503322295684708,0.216562104955302,57.4134378950447,57.8465621049553
bloom7b,vi,xnli,41.14,0.115325625946706,3,0.0665832811847927,0.286484736556198,40.8535152634438,41.4264847365562
bloom7b,vi,xstorycloze,62.0366666666667,0.0416333199893223,3,0.0240370085030931,0.103422900254734,61.9332437664119,62.1400895669214
bloom7b,vi,xwinograd,74.19,0.183575597506855,3,0.105987420637229,0.456027064741029,73.733972935259,74.646027064741
mgpt,family,SET AVG,52.6053333333333,0.0892711226171878,3,0.0515407066738935,0.221761762271984,52.3835715710614,52.8270950956053
mgpt,family,pawsx,50.66,0.209999999999996,3,0.121243556529819,0.521668919487178,50.1383310805128,51.1816689194872
mgpt,family,xcopa,55.63,0.0556776436283001,3,0.0321455025366431,0.138310934243657,55.4916890657563,55.7683109342437
mgpt,family,xnli,40.2933333333333,0.111504857891183,3,0.0643773597194256,0.276993422541267,40.0163399107921,40.5703267558746
mgpt,family,xstorycloze,55.59,0.0721110255092792,3,0.0416333199893223,0.179133717907327,55.4108662820927,55.7691337179073
mgpt,family,xwinograd,60.8533333333333,0.128970280814358,3,0.0744610263456312,0.320379938278025,60.5329533950553,61.1737132716114
mgpt,geo,SET AVG,52.916,0.0910164820238692,3,0.0525483903971736,0.226097475394842,52.6899025246052,53.1420974753948
mgpt,geo,pawsx,50.2266666666667,0.386566078870527,3,0.223184029695477,0.960283374641842,49.2663832920248,51.1869500413085
mgpt,geo,xcopa,55.94,0.0458257569495625,3,0.0264575131106483,0.113837491012194,55.8261625089878,56.0538374910122
