Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom7b,1,SET AVG,56.51066666666667,0.11631566245924332,3,0.06715487903181379,0.288944123593095,56.221722543073575,56.79961079025977
bloom7b,1,pawsx,48.70333333333334,0.1501110699893066,3,0.08666666666666892,0.3728965699256535,48.33043676340769,49.07622990325899
bloom7b,1,xcopa,58.04666666666666,0.1464012750399846,3,0.08452481555403955,0.36368092838883526,57.68298573827782,58.4103475950555
bloom7b,1,xnli,40.76,0.10440306508910693,3,0.06027713773341791,0.25935159121992846,40.50064840878007,41.01935159121992
bloom7b,1,xstorycloze,60.76666666666667,0.09073771725877586,3,0.052387445485006394,0.22540498532914086,60.54126168133753,60.992071651995815
bloom7b,1,xwinograd,74.27666666666666,0.36555893277737544,3,0.21105554824369002,0.9080987308136336,73.36856793585302,75.18476539748029
bloom7b,10,SET AVG,56.46866666666667,0.12319632029136739,3,0.07112742868339232,0.3060366251961675,56.16263004147051,56.774703291862835
bloom7b,10,pawsx,46.72,0.38157568056678004,3,0.22030282189144512,0.9478865380183836,45.77211346198162,47.66788653801838
bloom7b,10,xcopa,58.02666666666667,0.16623276853055613,3,0.09597453365925333,0.41294508925094786,57.613721577415724,58.43961175591762
bloom7b,10,xnli,41.35,0.03605551275463961,3,0.020816659994661167,0.08956685895366369,41.260433141046335,41.43956685895367
bloom7b,10,xstorycloze,61.916666666666664,0.17039170558842634,3,0.09837569708915742,0.4232764616375878,61.49339020502908,62.33994312830425
bloom7b,10,xwinograd,74.33,0.46999999999999886,3,0.27135462651912345,1.1675447245665609,73.16245527543344,75.49754472456655
bloom7b,11,SET AVG,56.404666666666664,0.10700155762105566,3,0.061777378096225743,0.26580660451248667,56.13886006215418,56.67047327117915
bloom7b,11,pawsx,46.666666666666664,0.19295940851208104,3,0.11140516644712097,0.479337743539925,46.18732892312674,47.14600441020659
bloom7b,11,xcopa,58.22333333333333,0.10263202878894138,3,0.05925462944877273,0.254952093157643,57.96838124017569,58.47828542649097
bloom7b,11,xnli,41.07666666666666,0.07094598884597307,3,0.04096068575814674,0.17623960639632796,40.90042706027033,41.25290627306299
bloom7b,11,xstorycloze,61.89000000000001,0.10392304845413144,3,0.05999999999999932,0.2581591637946735,61.631840836205335,62.14815916379468
bloom7b,11,xwinograd,74.16666666666667,0.23713568549109987,3,0.13691035185275294,0.5890776991523605,73.57758896751432,74.75574436581903
bloom7b,12,SET AVG,56.41866666666667,0.02773685875028565,3,0.016013882865952046,0.06890217682966795,56.349764489837,56.487568843496334
bloom7b,12,pawsx,47.42333333333334,0.43131581623368587,3,0.24902030260826172,1.071447884820769,46.35188544851257,48.49478121815411
bloom7b,12,xcopa,57.86666666666667,0.17672954855748535,3,0.10203485243342521,0.43902053636877103,57.427646130297894,58.30568720303544
bloom7b,12,xnli,41.22,0.09165151389911912,3,0.052915026221293154,0.22767498202437367,40.992325017975624,41.447674982024374
bloom7b,12,xstorycloze,62.01,0.20880613017821173,3,0.12055427546683459,0.5187031824398517,61.49129681756015,62.52870318243985
bloom7b,12,xwinograd,73.57333333333334,0.03511884584283884,3,0.020275875100991977,0.08724004935462318,73.48609328397872,73.66057338268796
bloom7b,13,SET AVG,56.724,0.21774296773949559,3,0.1257139610385458,0.5409035176504586,56.18309648234954,57.26490351765045
bloom7b,13,pawsx,47.73,0.5020956084253297,3,0.2898850346832931,1.2472746358404956,46.4827253641595,48.977274635840494
bloom7b,13,xcopa,57.99333333333334,0.22030282189144482,3,0.12719189352225985,0.5472625478861355,57.446070785447205,58.540595881219474
bloom7b,13,xnli,41.68,0.24020824298928287,3,0.13868429375142952,0.5967103551054054,41.08328964489459,42.27671035510541
bloom7b,13,xstorycloze,62.096666666666664,0.03511884584283809,3,0.02027587510099154,0.08724004935462129,62.009426617312045,62.18390671602128
bloom7b,13,xwinograd,74.12,0.27730849247723305,3,0.16010413278029983,0.6888724839772343,73.43112751602277,74.80887248397724
bloom7b,14,SET AVG,56.66266666666667,0.14134119474991483,3,0.08160337683644665,0.35111099211531566,56.31155567455135,57.01377765878198
