Model,Domain,Task,Language,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom7b,1,pawsx,de,48.300000000000004,1.1269427669584673,3,0.6506407098647728,2.7994810264910743,45.50051897350893,51.09948102649108
bloom7b,1,pawsx,en,39.733333333333334,0.028867513459479646,3,0.01666666666666572,0.0717108788318505,39.66162245450148,39.805044212165186
bloom7b,1,pawsx,es,43.26666666666667,0.5008326400438905,3,0.28915585954829115,1.244137248455296,42.02252941821138,44.51080391512197
bloom7b,1,pawsx,fr,53.15,0.0500000000000016,3,0.028867513459482214,0.1242068855921916,53.025793114407804,53.27420688559219
bloom7b,1,pawsx,ja,53.65,0.37749172176353485,3,0.21794494717703217,0.937741421941626,52.712258578058375,54.58774142194162
bloom7b,1,pawsx,ko,53.949999999999996,0.3464101615137758,3,0.2000000000000002,0.8605305459822559,53.08946945401774,54.81053054598225
bloom7b,1,pawsx,overall,48.70333333333334,0.1501110699893066,3,0.08666666666666892,0.3728965699256535,48.33043676340769,49.07622990325899
bloom7b,1,pawsx,zh,48.88333333333333,0.7251436639269044,3,0.4186618895693498,1.8013567220653754,47.081976611267955,50.68469005539871
bloom7b,1,xcopa,et,47.93333333333334,0.5033222956847169,3,0.2905932629027117,1.2503218959221774,46.68301143741116,49.183655229255514
bloom7b,1,xcopa,ht,53.333333333333336,0.611010092660775,3,0.35276684147527665,1.517833213495777,51.81550011983756,54.85116654682911
bloom7b,1,xcopa,id,70.26666666666667,0.7571877794400326,3,0.43716256828679784,1.8809587178542146,68.38570794881245,72.14762538452088
bloom7b,1,xcopa,it,54.20000000000001,0.3999999999999986,3,0.2309401076758495,0.9936550847374975,53.20634491526251,55.19365508473751
bloom7b,1,xcopa,overall,58.04666666666666,0.1464012750399846,3,0.08452481555403955,0.36368092838883526,57.68298573827782,58.4103475950555
bloom7b,1,xcopa,qu,51.4,0.1999999999999975,3,0.11547005383792372,0.4968275423687444,50.90317245763126,51.89682754236874
bloom7b,1,xcopa,sw,54.6,0.20000000000000107,3,0.11547005383792577,0.4968275423687532,54.103172457631246,55.09682754236876
bloom7b,1,xcopa,ta,59.666666666666664,0.30550504633039016,3,0.17638342073763985,0.7589166067478951,58.90775005991877,60.42558327341456
bloom7b,1,xcopa,th,55.06666666666667,0.9237604307034051,3,0.5333333333333355,2.2947481226193562,52.77191854404732,57.36141478928602
bloom7b,1,xcopa,tr,50.6,1.0583005244258372,3,0.6110100926607793,2.628964243190243,47.971035756809755,53.22896424319025
bloom7b,1,xcopa,vi,73.86666666666666,0.23094010767585463,3,0.13333333333333583,0.5736870306548474,73.29297963601181,74.44035369732151
bloom7b,1,xcopa,zh,67.60000000000001,0.3464101615137845,3,0.20000000000000523,0.8605305459822774,66.73946945401774,68.46053054598228
bloom7b,1,xnli,ar,33.74666666666667,0.13428824718989293,3,0.0775313556640877,0.3335904991018089,33.41307616756486,34.08025716576848
bloom7b,1,xnli,bg,35.88666666666666,0.5096403960964392,3,0.29424101987618667,1.2660169274221522,34.62064973924451,37.15268359408881
bloom7b,1,xnli,de,39.093333333333334,0.08326663997864496,3,0.048074017006186326,0.20684580050946863,38.886487532823864,39.3001791338428
bloom7b,1,xnli,el,35.79333333333333,0.22030282189144723,3,0.12719189352226123,0.5472625478861415,35.24607078544719,36.34059588121947
bloom7b,1,xnli,en,54.52666666666667,0.4805552344250739,3,0.27744869395580013,1.1937653804592412,53.33290128620743,55.72043204712591
bloom7b,1,xnli,es,48.25666666666667,0.22030282189144315,3,0.1271918935222589,0.5472625478861315,47.70940411878053,48.8039292145528
bloom7b,1,xnli,fr,49.13333333333333,0.1803699901129153,3,0.1041366623454218,0.4480638945243777,48.68526943880895,49.581397227857714
bloom7b,1,xnli,hi,47.43,0.08000000000000362,3,0.04618802153517216,0.19873101694750925,47.23126898305249,47.62873101694751
bloom7b,1,xnli,overall,40.76,0.10440306508910693,3,0.06027713773341791,0.25935159121992846,40.50064840878007,41.01935159121992
bloom7b,1,xnli,ru,39.973333333333336,0.4406056437828929,3,0.2543837870445216,1.0945250957722792,38.87880823756106,41.06785842910561
bloom7b,1,xnli,sw,35.31333333333333,0.46875722216658333,3,0.27063710840245814,1.16445749328313,34.1488758400502,36.47779082661646
bloom7b,1,xnli,th,34.51333333333333,0.2663331247391762,3,0.15376750126227756,0.6616081590777739,33.851725174255556,35.1749414924111
bloom7b,1,xnli,tr,34.36666666666667,0.16653327995729106,3,0.0961480340123733,0.4136916010189401,33.95297506564773,34.78035826768561
bloom7b,1,xnli,ur,42.29,0.03999999999999915,3,0.02309401076758454,0.09936550847374799,42.190634491526254,42.389365508473745
bloom7b,1,xnli,vi,44.1,0.08000000000000274,3,0.046188021535171646,0.19873101694750703,43.901268983052496,44.29873101694751
bloom7b,1,xnli,zh,36.99,0.18330302779823493,3,0.1058300524425844,0.4553499640487391,36.534650035951266,37.44534996404874
bloom7b,1,xstorycloze,ar,60.55333333333334,0.34063665882188066,3,0.19666666666666752,0.8461883702158877,59.70714496311746,61.399521703549226
bloom7b,1,xstorycloze,en,73.96666666666665,0.3324655370611096,3,0.19194906731850514,0.8258901785018892,73.14077648816476,74.79255684516855
bloom7b,1,xstorycloze,es,68.87333333333333,0.07505553499464976,3,0.04333333333333242,0.18644828496281796,68.68688504837051,69.05978161829616
bloom7b,1,xstorycloze,eu,57.839999999999996,0.2879236009777671,3,0.16623276853056024,0.7152418753187241,57.12475812468127,58.55524187531872
bloom7b,1,xstorycloze,hi,61.52666666666667,0.33246553706111104,3,0.19194906731850597,0.8258901785018927,60.70077648816478,62.352556845168564
bloom7b,1,xstorycloze,id,66.68666666666667,0.08082903768654588,3,0.04666666666666568,0.20079046072918855,66.48587620593747,66.88745712739586
bloom7b,1,xstorycloze,my,48.84,0.0,3,0.0,0.0,48.84,48.84
