Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
mgpt,1,SET AVG,52.75,0.03616628264004975,3,0.020880613017820814,0.08984202660334763,52.66015797339665,52.83984202660335
mgpt,1,pawsx,50.11333333333334,0.0650640709864776,3,0.03756475889861576,0.16162811242358796,49.95170522090975,50.27496144575692
mgpt,1,xcopa,55.26,0.12529964086141301,3,0.07234178138070024,0.3112615631443145,54.948738436855685,55.57126156314431
mgpt,1,xnli,40.93,0.09643650760993118,3,0.05567764362830116,0.23956156535233708,40.69043843464766,41.16956156535234
mgpt,1,xstorycloze,56.00333333333333,0.08504900548114833,3,0.049103066208850944,0.21127344187052657,55.792059891462806,56.214606775203855
mgpt,1,xwinograd,61.44333333333333,0.14571661996263238,3,0.0841295297608282,0.3619801508915793,61.081353182441745,61.80531348422491
mgpt,10,SET AVG,52.532000000000004,0.1594615941222212,3,0.09206519429187125,0.39612455954973175,52.13587544045027,52.92812455954974
mgpt,10,pawsx,49.196666666666665,0.5695904961753935,3,0.328853226294716,1.4149412318570898,47.78172543480957,50.61160789852376
mgpt,10,xcopa,55.54,0.18520259177452042,3,0.10692676621563574,0.4600687425582898,55.07993125744171,56.00006874255829
mgpt,10,xnli,40.696666666666665,0.27024680078278923,3,0.15602706317957854,0.6713302693296526,40.025336397337014,41.36799693599632
mgpt,10,xstorycloze,56.22,0.17058722109231836,3,0.09848857801796021,0.42376214907405607,55.79623785092594,56.64376214907406
mgpt,10,xwinograd,61.00666666666666,0.47014182257414067,3,0.2714365078204814,1.1678970313713772,59.838769635295286,62.174563698038035
mgpt,11,SET AVG,52.59866666666667,0.08348253310324508,3,0.04819866295979039,0.20738210876201554,52.39128455790465,52.806048775428685
mgpt,11,pawsx,49.77666666666667,0.1650252505931504,3,0.09527737285304085,0.40994544840491054,49.36672121826176,50.18661211507158
mgpt,11,xcopa,55.75,0.08888194417315678,3,0.05131601439446936,0.22079498942252987,55.52920501057747,55.97079498942253
mgpt,11,xnli,40.45333333333333,0.14047538337137075,3,0.08110350040397679,0.3489601974185309,40.104373135914805,40.80229353075186
mgpt,11,xstorycloze,56.050000000000004,0.05291502622129136,3,0.030550504633038673,0.13144821215951089,55.91855178784049,56.181448212159516
mgpt,11,xwinograd,60.96333333333333,0.19087517736293974,3,0.11020183503211083,0.4741602263421436,60.48917310699119,61.437493559675474
mgpt,12,SET AVG,52.79533333333334,0.13801932231877495,3,0.07968549289411445,0.342859003535187,52.45247432979815,53.13819233686853
mgpt,12,pawsx,50.04333333333333,0.4700354596552643,3,0.27137509916063635,1.1676328112334549,48.875700522099876,51.21096614456678
