Model,Domain,Task,Language,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
mgpt,1,pawsx,de,47.833333333333336,0.34034296427770483,3,0.19649710204252807,0.8454587925229378,46.987874540810395,48.678792125856276
mgpt,1,pawsx,en,44.75,0.21794494717703147,3,0.12583057392117789,0.5414052623882585,44.20859473761174,45.29140526238826
mgpt,1,pawsx,es,48.916666666666664,0.1755942292142111,3,0.10137937550496964,0.43620024677315783,48.4804664198935,49.352866913439826
mgpt,1,pawsx,fr,54.85,0.049999999999998934,3,0.028867513459480673,0.12420688559218498,54.725793114407814,54.97420688559219
mgpt,1,pawsx,ja,55.199999999999996,0.2179449471770386,3,0.12583057392118202,0.5414052623882762,54.65859473761172,55.74140526238827
mgpt,1,pawsx,ko,50.833333333333336,0.9411871935663673,3,0.5433946795633706,2.338038601442599,48.49529473189074,53.171371934775934
mgpt,1,pawsx,overall,50.11333333333334,0.0650640709864776,3,0.03756475889861576,0.16162811242358796,49.95170522090975,50.27496144575692
mgpt,1,pawsx,zh,48.416666666666664,0.45368858629387365,3,0.26193722742502873,1.1270249266456902,47.289641740020976,49.54369159331235
mgpt,1,xcopa,et,50.333333333333336,0.11547005383792576,3,0.06666666666666703,0.28684351532741986,50.04648981800592,50.620176848660755
mgpt,1,xcopa,ht,49.0,0.34641016151377524,3,0.19999999999999987,0.8605305459822544,48.13946945401774,49.86053054598226
mgpt,1,xcopa,id,61.199999999999996,0.0,3,0.0,0.0,61.199999999999996,61.199999999999996
mgpt,1,xcopa,it,58.53333333333333,0.1154700538379232,3,0.06666666666666554,0.2868435153274135,58.24648981800592,58.82017684866074
mgpt,1,xcopa,overall,55.26,0.12529964086141301,3,0.07234178138070024,0.3112615631443145,54.948738436855685,55.57126156314431
mgpt,1,xcopa,qu,49.4,0.5291502622129196,3,0.3055050463303902,1.314482121595124,48.08551787840487,50.714482121595125
mgpt,1,xcopa,sw,57.0,0.40000000000000124,3,0.23094010767585105,0.9936550847375042,56.006344915262495,57.993655084737505
mgpt,1,xcopa,ta,53.93333333333334,0.4163331998932299,3,0.24037008503093457,1.034229002547356,52.89910433078598,54.96756233588069
mgpt,1,xcopa,th,55.53333333333334,0.11547005383792731,3,0.06666666666666791,0.2868435153274237,55.24648981800591,55.820176848660765
mgpt,1,xcopa,tr,55.0,0.5291502622129173,3,0.3055050463303889,1.3144821215951181,53.68551787840488,56.31448212159512
mgpt,1,xcopa,vi,62.666666666666664,0.3055050463303871,3,0.1763834207376381,0.7589166067478875,61.907750059918776,63.42558327341455
mgpt,1,xcopa,zh,55.26666666666667,0.3055050463303925,3,0.1763834207376412,0.7589166067479008,54.50775005991877,56.025583273414576
mgpt,1,xnli,ar,34.26,0.2227105745132009,3,0.12858201014657275,0.5532437369746305,33.70675626302537,34.81324373697463
mgpt,1,xnli,bg,41.65,0.3274141108748991,3,0.18903262505010496,0.8133417402141285,40.83665825978587,42.463341740214126
mgpt,1,xnli,de,46.30666666666667,0.07505553499465231,3,0.04333333333333389,0.18644828496282428,46.12021838170385,46.493114951629494
mgpt,1,xnli,el,35.23333333333333,0.26633312473917614,3,0.15376750126227753,0.6616081590777738,34.571725174255555,35.8949414924111
mgpt,1,xnli,en,50.21333333333334,0.06110100926607773,3,0.0352766841475278,0.15178332134957828,50.06155001198376,50.365116654682915
mgpt,1,xnli,es,45.300000000000004,0.08000000000000007,3,0.046188021535170105,0.1987310169475004,45.101268983052506,45.4987310169475
mgpt,1,xnli,fr,46.06333333333333,0.37206630233512533,3,0.2148125798095733,0.9242639329369441,45.13906940039639,46.98759726627028
mgpt,1,xnli,hi,39.96,0.20784609690826444,3,0.11999999999999952,0.5163183275893509,39.44368167241065,40.476318327589354
mgpt,1,xnli,overall,40.93,0.09643650760993118,3,0.05567764362830116,0.23956156535233708,40.69043843464766,41.16956156535234
mgpt,1,xnli,ru,45.22,0.06928203230275362,3,0.039999999999999154,0.17210610919644734,45.04789389080355,45.39210610919645
mgpt,1,xnli,sw,40.373333333333335,0.35851545759330156,3,0.20698899595013454,0.8906017684864401,39.482731564846894,41.263935101819776
mgpt,1,xnli,th,36.13,0.7238093671679056,3,0.41789153297636294,1.7980421451675555,34.331957854832446,37.92804214516756
mgpt,1,xnli,tr,41.97,0.28000000000000114,3,0.16165807537309587,0.6955585593162535,41.274441440683745,42.66555855931625
mgpt,1,xnli,ur,34.85999999999999,0.13856406460551235,3,0.08000000000000125,0.34421221839290733,34.51578778160709,35.2042122183929
mgpt,1,xnli,vi,43.129999999999995,0.20000000000000107,3,0.11547005383792577,0.4968275423687532,42.63317245763124,43.62682754236875
mgpt,1,xnli,zh,33.26333333333333,0.046188021535170105,3,0.026666666666666693,0.11473740613096743,33.14859592720236,33.3780707394643
mgpt,1,xstorycloze,ar,50.85,0.03464101615137937,3,0.020000000000001055,0.08605305459823004,50.76394694540177,50.93605305459823
mgpt,1,xstorycloze,en,62.449999999999996,0.38105117766515567,3,0.22000000000000156,0.9465836005804871,61.50341639941951,63.396583600580485
mgpt,1,xstorycloze,es,57.35666666666666,0.1361371857110751,3,0.0785988408170073,0.33818351700915816,57.018483149657506,57.69485018367582
mgpt,1,xstorycloze,eu,55.43666666666667,0.16623276853055435,3,0.0959745336592523,0.4129450892509435,55.02372157741572,55.849611755917614
mgpt,1,xstorycloze,hi,54.06999999999999,0.20000000000000107,3,0.11547005383792577,0.4968275423687532,53.57317245763124,54.56682754236875
mgpt,1,xstorycloze,id,55.723333333333336,0.19502136635080125,3,0.11259563836036374,0.4844599307673217,55.238873402566014,56.20779326410066
mgpt,1,xstorycloze,my,52.59,0.27622454633866406,3,0.15947831618540995,0.6861798124968075,51.90382018750319,53.276179812496814
mgpt,1,xstorycloze,overall,56.00333333333333,0.08504900548114833,3,0.049103066208850944,0.21127344187052657,55.792059891462806,56.214606775203855
mgpt,1,xstorycloze,ru,58.72666666666667,0.3625373543972185,3,0.20931103915252888,0.9005927140101941,57.82607395265647,59.62725938067686
mgpt,1,xstorycloze,sw,56.03666666666667,0.16623276853055435,3,0.0959745336592523,0.4129450892509435,55.62372157741572,56.449611755917616
mgpt,1,xstorycloze,te,57.599999999999994,0.10148891565092301,3,0.058594652770823624,0.2521124427025875,57.347887557297405,57.852112442702584
mgpt,1,xstorycloze,zh,55.173333333333325,0.14011899704655809,3,0.0808977406634107,0.3480748847090784,54.82525844862425,55.5214082180424
mgpt,1,xwinograd,en,63.61333333333334,0.18929694486000687,3,0.10929064207169871,0.47023967946355044,63.143093653869784,64.08357301279689
mgpt,1,xwinograd,fr,56.22666666666667,1.838486696534231,3,1.0614507891455842,4.567054135583724,51.65961253108294,60.79372080225039
mgpt,1,xwinograd,ja,55.923333333333325,0.2615976554431178,3,0.15103347678945905,0.6498446012161572,55.273488732117166,56.573177934549484
mgpt,1,xwinograd,overall,61.44333333333333,0.14571661996263238,3,0.0841295297608282,0.3619801508915793,61.081353182441745,61.80531348422491
mgpt,1,xwinograd,pt,58.94,0.658179306876167,3,0.37999999999999634,1.6350080373662685,57.30499196263373,60.57500803736627
mgpt,1,xwinograd,ru,58.31,0.6605300901548746,3,0.38135722535876465,1.640847706761278,56.669152293238724,59.95084770676128
mgpt,1,xwinograd,zh,66.07,0.3464101615137763,3,0.20000000000000048,0.860530545982257,65.20946945401774,66.93053054598225
mgpt,10,pawsx,de,46.78333333333333,1.0396313449167083,3,0.6002314368456342,2.5825874303224348,44.2007459030109,49.365920763655765
mgpt,10,pawsx,en,42.5,0.47696960070847755,3,0.27537852736430785,1.1848581725229859,41.315141827477014,43.684858172522986
mgpt,10,pawsx,es,49.26666666666667,0.5392896562454482,3,0.3113590282044903,1.3396697726865718,47.9269968939801,50.60633643935324
mgpt,10,pawsx,fr,54.88333333333333,0.028867513459486828,3,0.016666666666669865,0.07171087883186834,54.81162245450147,54.9550442121652
mgpt,10,pawsx,ja,54.01666666666667,0.6048415770541371,3,0.3492054473292838,1.502509771251231,52.51415689541544,55.519176437917906
mgpt,10,pawsx,ko,51.6,1.540292180074938,3,0.8892881047969411,3.826297891782182,47.77370210821782,55.426297891782184
mgpt,10,pawsx,overall,49.196666666666665,0.5695904961753935,3,0.328853226294716,1.4149412318570898,47.78172543480957,50.61160789852376
mgpt,10,pawsx,zh,45.333333333333336,0.4856267428111135,3,0.28037673068767754,1.206363705696934,44.1269696276364,46.53969703903027
mgpt,10,xcopa,et,49.93333333333334,1.2220201853215542,3,0.7055336829505557,3.0356664269915643,46.897666906341776,52.9689997603249
