,Model,Domain,Result Set,Task,Score
0,bloom3b,semantic,3,pawsx,48.49
1,bloom3b,semantic,3,xcopa,56.65
2,bloom3b,semantic,3,xnli,40.72
3,bloom3b,semantic,3,xstorycloze,59.040000000000006
4,bloom3b,semantic,3,xwinograd,70.6
5,bloom3b,semantic,3,SET AVG,55.1
6,bloom3b,semantic,1,pawsx,49.38
7,bloom3b,semantic,1,xcopa,56.82000000000001
8,bloom3b,semantic,1,xnli,40.949999999999996
9,bloom3b,semantic,1,xstorycloze,59.58
10,bloom3b,semantic,1,xwinograd,70.96000000000001
11,bloom3b,semantic,1,SET AVG,55.53800000000001
12,bloom3b,semantic,2,pawsx,48.53
13,bloom3b,semantic,2,xcopa,56.88999999999999
14,bloom3b,semantic,2,xnli,40.550000000000004
15,bloom3b,semantic,2,xstorycloze,59.51
16,bloom3b,semantic,2,xwinograd,70.98
17,bloom3b,semantic,2,SET AVG,55.291999999999994
18,bloom3b,random,3,pawsx,47.980000000000004
19,bloom3b,random,3,xcopa,56.93
20,bloom3b,random,3,xnli,40.96
21,bloom3b,random,3,xstorycloze,59.48
22,bloom3b,random,3,xwinograd,71.03
23,bloom3b,random,3,SET AVG,55.275999999999996
24,bloom3b,random,2,pawsx,47.85
25,bloom3b,random,2,xcopa,57.24
26,bloom3b,random,2,xnli,41.0
27,bloom3b,random,2,xstorycloze,59.45
28,bloom3b,random,2,xwinograd,70.62
29,bloom3b,random,2,SET AVG,55.232000000000006
30,bloom3b,random,1,pawsx,47.8
31,bloom3b,random,1,xcopa,56.88999999999999
32,bloom3b,random,1,xnli,40.68
33,bloom3b,random,1,xstorycloze,59.77
34,bloom3b,random,1,xwinograd,70.38
35,bloom3b,random,1,SET AVG,55.104
36,bloom3b,all,3,pawsx,49.059999999999995
37,bloom3b,all,3,xcopa,57.64
38,bloom3b,all,3,xnli,41.370000000000005
39,bloom3b,all,3,xstorycloze,59.709999999999994
40,bloom3b,all,3,xwinograd,70.65
41,bloom3b,all,3,SET AVG,55.68599999999999
42,bloom3b,all,2,pawsx,48.74
43,bloom3b,all,2,xcopa,57.330000000000005
44,bloom3b,all,2,xnli,40.92
45,bloom3b,all,2,xstorycloze,59.63
46,bloom3b,all,2,xwinograd,70.44
47,bloom3b,all,2,SET AVG,55.412
48,bloom3b,all,1,pawsx,48.63
49,bloom3b,all,1,xcopa,57.440000000000005
50,bloom3b,all,1,xnli,41.199999999999996
51,bloom3b,all,1,xstorycloze,59.67
52,bloom3b,all,1,xwinograd,70.47
53,bloom3b,all,1,SET AVG,55.48199999999999
54,bloom3b,learned,2,pawsx,49.44
55,bloom3b,learned,2,xcopa,57.199999999999996
56,bloom3b,learned,2,xnli,40.77
57,bloom3b,learned,2,xstorycloze,59.58
58,bloom3b,learned,2,xwinograd,71.12
59,bloom3b,learned,2,SET AVG,55.622
60,bloom3b,learned,3,pawsx,48.79
61,bloom3b,learned,3,xcopa,56.47
62,bloom3b,learned,3,xnli,41.14
63,bloom3b,learned,3,xstorycloze,59.830000000000005
64,bloom3b,learned,3,xwinograd,71.34
65,bloom3b,learned,3,SET AVG,55.513999999999996
66,bloom3b,learned,1,pawsx,48.54
67,bloom3b,learned,1,xcopa,56.98
68,bloom3b,learned,1,xnli,40.92
69,bloom3b,learned,1,xstorycloze,60.150000000000006
70,bloom3b,learned,1,xwinograd,70.56
71,bloom3b,learned,1,SET AVG,55.42999999999999
72,bloom3b,family,1,pawsx,48.8
