,Model,Domain,Result Set,Task,Language,Score
0,bloom3b,semantic,3,pawsx,overall,48.49
1,bloom3b,semantic,3,pawsx,de,44.85
2,bloom3b,semantic,3,pawsx,en,41.949999999999996
3,bloom3b,semantic,3,pawsx,es,42.4
4,bloom3b,semantic,3,pawsx,fr,53.75
5,bloom3b,semantic,3,pawsx,ja,55.400000000000006
6,bloom3b,semantic,3,pawsx,ko,50.05
7,bloom3b,semantic,3,pawsx,zh,51.0
8,bloom3b,semantic,3,xcopa,overall,56.65
9,bloom3b,semantic,3,xcopa,et,49.0
10,bloom3b,semantic,3,xcopa,ht,52.0
11,bloom3b,semantic,3,xcopa,id,69.19999999999999
12,bloom3b,semantic,3,xcopa,it,51.6
13,bloom3b,semantic,3,xcopa,qu,51.4
14,bloom3b,semantic,3,xcopa,sw,53.400000000000006
15,bloom3b,semantic,3,xcopa,ta,55.800000000000004
16,bloom3b,semantic,3,xcopa,th,52.800000000000004
17,bloom3b,semantic,3,xcopa,tr,53.2
18,bloom3b,semantic,3,xcopa,vi,70.39999999999999
19,bloom3b,semantic,3,xcopa,zh,64.4
20,bloom3b,semantic,3,xnli,overall,40.72
21,bloom3b,semantic,3,xnli,ar,33.33
22,bloom3b,semantic,3,xnli,bg,38.39
23,bloom3b,semantic,3,xnli,de,40.72
24,bloom3b,semantic,3,xnli,el,33.78
25,bloom3b,semantic,3,xnli,en,54.059999999999995
26,bloom3b,semantic,3,xnli,es,48.84
27,bloom3b,semantic,3,xnli,fr,49.16
28,bloom3b,semantic,3,xnli,hi,45.82
29,bloom3b,semantic,3,xnli,ru,42.370000000000005
30,bloom3b,semantic,3,xnli,sw,35.02
31,bloom3b,semantic,3,xnli,th,33.73
32,bloom3b,semantic,3,xnli,tr,34.18
33,bloom3b,semantic,3,xnli,ur,39.48
34,bloom3b,semantic,3,xnli,vi,43.01
35,bloom3b,semantic,3,xnli,zh,38.92
36,bloom3b,semantic,3,xstorycloze,overall,59.040000000000006
37,bloom3b,semantic,3,xstorycloze,ar,59.230000000000004
38,bloom3b,semantic,3,xstorycloze,en,69.56
39,bloom3b,semantic,3,xstorycloze,es,66.91
40,bloom3b,semantic,3,xstorycloze,eu,56.19
41,bloom3b,semantic,3,xstorycloze,hi,60.029999999999994
