Model,Domain,Task,Language,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom1_7b,all,pawsx,de,51.5,0.3000000000000016,3,0.17320508075688867,0.7452413135531298,50.75475868644687,52.24524131355313
bloom1_7b,all,pawsx,en,47.56666666666666,0.2362907813126321,3,0.13642254619787514,0.5869788408197345,46.97968782584693,48.153645507486395
bloom1_7b,all,pawsx,es,46.20000000000001,0.5267826876426354,3,0.30413812651491007,1.3086007403194784,44.89139925968053,47.50860074031949
bloom1_7b,all,pawsx,fr,54.01666666666667,0.16072751268321867,3,0.09279607271383529,0.3992692755872286,53.61739739107944,54.4159359422539
bloom1_7b,all,pawsx,ja,55.916666666666664,0.07637626158260152,3,0.044095855184412266,0.18972915168698368,55.72693751497968,56.10639581835365
bloom1_7b,all,pawsx,ko,54.45000000000001,0.3041381265149115,3,0.17559422921421264,0.7555209896851981,53.694479010314815,55.205520989685205
bloom1_7b,all,pawsx,overall,51.78666666666667,0.17473789896108374,3,0.10088497300281134,0.43407300449757147,51.3525936621691,52.22073967116424
bloom1_7b,all,pawsx,zh,52.833333333333336,0.16072751268321359,3,0.09279607271383236,0.399269275587216,52.43406405774612,53.23260260892055
bloom1_7b,all,xcopa,et,47.333333333333336,0.7023769168568504,3,0.405517502019882,1.7448009870926462,45.58853234624069,49.07813432042598
bloom1_7b,all,xcopa,ht,51.13333333333333,0.3055050463303906,3,0.17638342073764013,0.7589166067478962,50.37441672658544,51.89224994008123
bloom1_7b,all,xcopa,id,67.06666666666666,0.3055050463303894,3,0.1763834207376394,0.7589166067478932,66.30775005991877,67.82558327341455
bloom1_7b,all,xcopa,it,52.93333333333334,0.7023769168568501,3,0.40551750201988185,1.7448009870926455,51.18853234624069,54.67813432042598
bloom1_7b,all,xcopa,overall,56.28666666666667,0.0808290376865464,3,0.04666666666666597,0.20079046072918982,56.08587620593748,56.48745712739586
bloom1_7b,all,xcopa,qu,52.400000000000006,0.1999999999999975,3,0.11547005383792372,0.4968275423687444,51.903172457631264,52.89682754236875
bloom1_7b,all,xcopa,sw,54.20000000000001,0.916515138991171,3,0.5291502622129198,2.2767498202436864,51.92325017975632,56.4767498202437
bloom1_7b,all,xcopa,ta,55.13333333333333,0.3055050463303908,3,0.1763834207376402,0.7589166067478966,54.37441672658544,55.89224994008123
bloom1_7b,all,xcopa,th,52.73333333333334,0.41633319989322903,3,0.24037008503093407,1.0342290025473537,51.699104330785985,53.7675623358807
bloom1_7b,all,xcopa,tr,53.93333333333334,0.30550504633039116,3,0.17638342073764043,0.7589166067478975,53.17441672658544,54.69224994008123
bloom1_7b,all,xcopa,vi,67.0,0.5291502622129196,3,0.3055050463303902,1.314482121595124,65.68551787840488,68.31448212159512
bloom1_7b,all,xcopa,zh,65.26666666666667,0.7023769168568438,3,0.4055175020198782,1.7448009870926298,63.521865679574034,67.0114676537593
bloom1_7b,all,xnli,ar,33.089999999999996,0.0692820323027526,3,0.03999999999999856,0.17210610919644478,32.917893890803555,33.26210610919644
bloom1_7b,all,xnli,bg,36.70666666666667,0.5824374072235858,3,0.336270393846645,1.4468547280726065,35.25981193859406,38.15352139473928
bloom1_7b,all,xnli,de,37.776666666666664,0.46360903068570086,3,0.2676647986651309,1.1516686766776771,36.624997989988984,38.928335343344344
bloom1_7b,all,xnli,el,33.84,0.9789279850938963,3,0.5651843357112191,2.431791924950967,31.408208075049036,36.27179192495097
bloom1_7b,all,xnli,en,53.81666666666666,0.14977761292440525,3,0.08647414514048495,0.3720682166554513,53.44459845001121,54.18873488332211
bloom1_7b,all,xnli,es,47.57666666666666,0.1847520861406794,3,0.10666666666666619,0.45894962452386723,47.11771704214279,48.03561629119053
bloom1_7b,all,xnli,fr,47.15,0.2884441020371179,3,0.16653327995728992,0.7165348716293121,46.433465128370685,47.86653487162931
bloom1_7b,all,xnli,hi,43.29,0.39395431207184584,3,0.22744962812309405,0.9786367633611348,42.31136323663886,44.26863676336114
bloom1_7b,all,xnli,overall,40.160000000000004,0.1442220510185597,3,0.08326663997864539,0.35826743581465786,39.80173256418534,40.518267435814664
bloom1_7b,all,xnli,ru,40.160000000000004,0.549909083394705,3,0.3174901573277533,1.3660498921462179,38.79395010785379,41.52604989214622
